Season,Team,Lg,W,GP,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm,ERA,CG,SHO,SV,IP,HA,RA,ER,HRA,BBA,IBBA,SOA,HBPA,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
1994,PHI,NL,54,115,61,0.47,40,-2.3380926337132113,-2.382483204725631,-1.6529085150243243,-2.03563584603346,-1.760105864607934,-1.1924405295064056,-0.2729399705378919,-1.6558293881301487,-1.6962763342231975,-0.8807103518075816,-1.1396352799354763,-1.3656345878762017,-1.3420789345254267,0.262,0.332,0.39,0.722,86,-2.1084186324420986,-1.1476527924995594,-0.8317442194641997,0.009466545440167493,-1.2975179626469349,0.1823517512583015,-1.933258139214848,4.5,3.86,-0.42260580863450803,-0.7463509564575258,-0.8550183325525957,-2.421246006101933,-1.996681182037502,-1.8183265590650208,-1.8837529634989143,-1.4229137666859857,-1.6329251606592128,-0.6533758139831597,-1.3881324058825233,-1.0420947958274676,-0.22930084253643762,-0.3637765678528798,-2.333080195144095,112,4.2,1.372,9.0,0.9,3.3,6.1,1.85
1988,ATL,NL,54,160,106,0.338,40,-0.023422029973643656,0.11227773852442441,-1.3531077177347912,-0.40633755186383363,0.16558102969056013,-0.751057358400274,-0.2729399705378919,-1.2954994638700263,-1.3052579595825478,-0.18908682229477788,1.3330645244041384,-0.9502756304708659,-0.7683803404141007,0.242,0.298,0.348,0.646,83,-0.933195291051364,0.773345229820772,-1.3602675016513492,0.9385363492624264,0.1788476254890775,1.0350132025137897,-0.4778752025238904,3.5,4.1,0.07874363977031912,-0.16258556326420398,-1.3867240764596327,0.24633679975395953,0.4911130173236109,0.2798672063130058,0.11341659316052001,-1.1666517126701994,0.11457020965020427,1.236459117182265,-0.9247122290608472,-0.20784654961315363,3.340660503173573,-0.3637765678528798,0.31830550761649135,90,3.8,1.387,9.2,0.7,3.3,5.0,1.55
1988,BAL,AL,54,161,107,0.335,22,-0.07332615205807315,-0.02293071973499695,-1.3971960702773696,-0.6526919331128492,-0.19690120923621524,-1.3910629565041648,-1.0148826503743538,-0.37215403295346317,-1.3961924653129314,-0.8313086711280956,-0.040657589117869805,-0.11955771566019434,-0.6804411398568901,0.238,0.305,0.359,0.664,88,-0.8218928018945814,0.9607596710227555,-0.7788918912454847,-0.43487118682265197,0.08042325294667667,-0.5566215064964549,-0.07893774779641978,3.4,4.55,0.5084717384030281,-0.45446825986086486,-1.2803829276782253,0.06136074197435333,0.6284085029395663,0.6926266355676997,0.6423473433260323,-0.013472469599160942,0.10268248604265721,0.36815658124139417,-1.346382840403093,-0.20784654961315363,2.8538475923949354,-0.5798784838150559,0.16432569633891306,86,4.37,1.433,9.6,1.0,3.3,4.5,1.36
1981,CHW,AL,54,106,52,0.509,22,-2.8841024400487343,-2.896934899566356,-2.04970368790753,-2.293188153702885,-1.5184510386567502,-2.8034891040437855,-0.36568280551744964,-1.7459118691951792,-2.1145750605829625,-0.4113943853524648,-0.040657589117869805,-2.2194280003205034,-2.150282063455981,0.272,0.335,0.387,0.722,111,-2.5438077812024544,-1.381920844002039,-0.1975162808396204,-0.11171647244969235,-0.8053960999349308,-1.4092829577519432,-2.5686029745215606,4.5,3.5,0.5084717384030281,0.7130625265257787,-1.5994063740224476,-2.952735432393334,-2.7490604432129375,-2.4546640124993404,-2.549476149052059,-2.0635689017254513,-2.1203218285686423,-1.2152186313566644,-2.097875019032838,-1.2645609948179515,-0.22930084253643762,-1.8764899795881123,-3.028189057482877,102,3.63,1.304,8.5,0.7,3.2,5.1,1.57
1979,OAK,AL,54,162,108,0.333,22,-0.08506829843088008,-0.039419556108097116,-1.1943896485815089,-0.6470929699026443,0.022098476782044876,-1.6338237006125371,0.09803136938033906,-1.0252520206749347,-1.1779496515600105,0.033220740762909026,1.3330645244041384,-0.37338818963012177,-1.174575695368835,0.239,0.302,0.346,0.648,80,-1.0608657933194383,0.5390771783182925,-1.4131198298700642,0.9789306885590463,0.1788476254890775,-0.2724010227446255,-0.5369770476687009,3.5,4.78,2.0125200836175097,-0.16258556326420398,-1.9184298203666696,0.14498005576513437,1.177590445403388,1.303166624673601,1.0344856581039121,-0.16722970200863274,1.6599742786313214,1.3386123567047203,-1.2754085790880616,0.12585274887257197,-0.5538427830555295,1.581140675806705,0.5969356423092521,85,4.53,1.581,10.1,0.9,4.1,4.6,1.11
1977,TOR,AL,54,161,107,0.335,21,0.042627543373395374,0.07765118214091407,-0.9122241923090072,-0.1375873177739984,0.38458071570882024,-0.7069190412896609,0.9327168841963587,-1.2054169828049959,-1.0688282446835502,-0.9301120324870676,0.5637801408318137,-0.17724645974426875,-0.8898201888026296,0.252,0.316,0.365,0.681,86,-0.6451182602926324,1.7104174358306898,-1.2545628452139193,1.221296724338766,-1.0022448450197323,-0.3860892162453573,-0.04938682522401456,3.8,4.57,1.9408987338453916,-0.16258556326420398,-1.9184298203666696,0.13801177961590178,0.8041467245279893,0.9763987431803016,0.7335423002511207,-0.039098675000739574,1.2914548467973628,-0.04045637684842737,-1.0875355344306252,-1.4870271938084352,-0.3915718127959836,0.8608009559327847,0.39896159923808,92,4.39,1.513,9.7,1.0,3.9,4.9,1.24
1996,DET,AL,53,162,109,0.327,28,0.25545394638052116,0.2606772658823259,0.6573211582067838,0.11996498989542699,-0.10628064950452139,-0.1110517602963833,-0.9221398153947961,1.1367275248857989,0.6407404630476629,-0.3866935450127218,0.28903571812741213,0.3650277346460308,0.9904036707301106,0.256,0.323,0.42,0.743,87,0.4842746443864859,0.5859307886187884,-0.9374488759016296,-0.11171647244969235,0.47412074311628,-0.8408419902482843,-0.46309974123768777,4.8,6.38,-0.20774175931815353,0.12929713333245693,-1.705747522803855,0.1639844452630391,1.6883296518947424,3.392761235275488,3.3690765553861732,2.2416336057397586,3.2053783476124384,1.1343058776598096,-0.3109936165132218,1.849965791048821,-0.5538427830555295,2.3014803956806253,1.003149049203435,80,5.83,1.733,10.7,1.5,4.9,6.0,1.22
1994,COL,NL,53,117,64,0.453,36,-2.254429840806962,-2.2522213973781393,-1.1943896485815089,-1.6437084213191167,-1.6392784516323422,-1.2365788466170187,0.7472312142372433,-0.6424014761485548,-1.187043102133049,-0.28789018365374985,0.45388237175005314,-1.5733140665788696,-1.1326998855796873,0.274,0.337,0.439,0.776,88,-1.3718580424339781,-1.1007991821990637,-1.2545628452139193,-0.030927793856452456,-0.8053960999349308,-0.4429333129957232,-2.1992164423664953,4.9,5.17,-0.6374698579508625,-0.7463509564575258,-1.0677006301154104,-2.3769024306068225,-1.1344655323693016,-0.605845735629358,-0.48847012254506295,-0.8591372478512558,-0.7888967845233719,0.11277348243525571,-1.3714325796907512,0.12585274887257197,0.5820540087612921,-0.003606707915919658,-2.0309864701614178,97,4.73,1.583,10.3,1.0,3.9,6.1,1.57
1994,DET,AL,53,115,62,0.461,18,-2.135540608782292,-2.3363144628809502,-0.49779367840877026,-1.9236565818293616,-2.25851894313225,-1.0158872610639529,-0.5511684754765651,0.16834085343672023,-0.44138015514390283,-1.3994279989421845,-0.6450953190675534,0.06504626540884381,-0.563188872447276,0.265,0.352,0.454,0.806,107,-1.2409139375436455,-1.5693352852040225,-0.6731872348080549,-1.3639409906449107,0.37569637057387917,-0.7271537967475525,-1.8519931021407336,5.7,5.38,0.1503649895424373,-0.7463509564575258,-1.9184298203666696,-2.4598882647476725,-1.3870892259026597,-0.32207362801675593,-0.3334386957724128,-0.1416034966070541,-0.7770090609158249,1.6961486950333142,-1.9684513660466043,-1.2089444450703304,-0.8783847235746214,0.6446990399706086,-2.1365726264660427,91,5.32,1.56,10.1,1.3,4.0,5.0,1.25
1994,MIL,AL,53,115,62,0.461,23,-2.2529620725103614,-2.29839013922282,-1.4236490818029166,-1.9404534714599764,-1.9488986973822962,-0.5303657728472082,-0.9221398153947961,-1.2279376030712534,-1.4598466193242,-1.0783170745255255,-0.4252997809040321,-1.1233418627230893,-1.4718939448717852,0.263,0.335,0.408,0.742,88,-1.8137943964388503,-1.6161888955045183,-0.7260395630267699,-0.9196032583820913,-0.6085473548501291,-0.6134656032468209,-2.05884956014757,4.8,4.62,-0.13612040954603535,-0.7463509564575258,-1.5994063740224476,-2.3452284481103143,-1.7605329467780584,-1.0530017839886094,-1.0356398640955928,-0.6797538100402054,-1.1098653219271424,-0.6533758139831597,-1.8974771047315728,-0.9864782460798467,-0.22930084253643762,-1.4442861476637603,-2.2524241035225065,109,4.91,1.44,9.3,1.1,3.7,5.0,1.37
1994,MIN,AL,53,113,60,0.469,18,-2.377722377721435,-2.3412611137928803,-1.0092185679026797,-1.677302200580346,-1.6468301649433166,-0.5082966142919016,-0.7366541454356806,-1.137855122006223,-1.041547892964435,-0.21378766263452087,-0.8099419726901943,-1.7925312940983524,-1.6603350889229507,0.276,0.34,0.427,0.767,97,-1.6042838286143184,-1.2413600131005513,-0.3032209372770503,-1.161969294161811,-1.0022448450197323,-0.8408419902482843,-2.2657060181544066,5.3,5.69,-0.4942271584066262,-0.45446825986086486,-0.9613594813340031,-2.542240619238593,-1.068563699273643,-0.17588799682238523,-0.09633180776718314,-0.013472469599160942,-1.5021602009761952,-1.0619887720729813,-1.793103191032997,-0.8752451465846048,-0.5538427830555295,-0.5078445118276639,-2.2318934620188293,86,5.16,1.577,10.7,1.4,3.5,5.4,1.55
1994,PIT,NL,53,114,61,0.465,39,-2.5362413537543285,-2.486362873876162,-2.137880392992687,-2.186807852708992,-1.8507264243396278,-1.4131321150594713,-0.7366541454356806,-1.6558293881301487,-2.1418554123020774,-1.2265221165639835,-1.084686395394596,-1.9079087822665013,-1.2834528008206196,0.259,0.322,0.384,0.706,83,-2.2622779556882393,-1.381920844002039,-1.3074151734326342,-0.5964485440091317,-1.5927910802741374,-0.6703096999971867,-2.0957882133630767,4.1,4.65,-0.3509844588623899,-0.7463509564575258,-1.4930652252410401,-2.5409736599387323,-1.6342211000113795,-1.1045967126454463,-1.145073812405699,-0.9360158640559917,-1.7161392259120423,0.572463060286305,-1.5927052767317318,-0.3190796491083955,0.5820540087612921,-1.8764899795881123,-2.3990715428344855,93,4.58,1.456,9.8,1.0,3.3,5.8,1.76
1994,STL,NL,53,115,61,0.465,37,-2.3175438775607993,-2.4237052956583813,-1.5294611279051047,-2.046833772453869,-2.0168641171810666,-1.0820947367298726,-0.36568280551744964,-1.0252520206749347,-1.4962204216163535,-0.6584027887498947,0.06924017996389084,-0.9272001328372362,-1.4467684589982965,0.263,0.339,0.414,0.753,97,-1.8301624095501419,-1.8504569470069978,-0.7260395630267699,-0.27329382963617216,-0.7069717273925299,0.409728138259765,-1.9037072166424427,4.7,5.16,-0.42260580863450803,-0.16258556326420398,-0.9613594813340031,-2.4598882647476725,-1.3047119345330864,-0.7520313668237286,-0.5614260880851336,-0.5003703722291549,-1.894455080025248,-0.6533758139831597,-1.6678544945947062,-0.4859292983512583,-0.3915718127959836,-0.72394642778984,-2.2861530145642615,81,4.76,1.482,10.2,1.2,3.1,5.6,1.78
1979,TOR,AL,53,162,109,0.327,22,-0.02782533486344626,0.08424671669015413,-0.8416828282408818,-0.16558213382502293,0.26375330273322845,-0.19932839451760961,0.28351703933945455,-1.3180200841362841,-0.9869871895262049,-0.6831036290896377,0.618729025372694,-0.7656716494018279,-1.5430828215133365,0.251,0.311,0.363,0.673,82,-0.6811278891374738,0.5390771783182925,-0.567482578370625,0.5749872955928468,-0.6085473548501291,-1.1250624740001138,-0.28579420580325643,3.8,4.85,2.227384132933864,0.7130625265257787,-2.8755001593993366,0.0676955384736549,0.7986549051033511,1.3203649342258796,1.0709636408739474,0.29404199521978264,0.9467108621784981,-0.29583947565456586,-1.747178669005624,-0.3746961988560164,-0.06702987227689168,1.0048688999075688,0.28017717339537673,89,4.72,1.504,9.8,1.0,3.8,3.9,1.03
2021,ARI,NL,52,162,110,0.321,64,0.16885561688106998,0.19307303675261522,-0.2597165746788469,-0.5295147424883414,-0.9898311068885363,1.014475326024252,0.00528853440078132,-0.21450969108965967,-0.24132424253705875,-1.4735305199614135,-1.5792263562625188,0.26118799529469683,1.815357123576324,0.236,0.309,0.382,0.692,87,-0.2522859456216347,-0.960238351297576,0.383859329566244,-0.7580259011956115,-1.5927910802741374,-0.9545301837490161,0.36432609078965866,4.2,5.15,-0.7090912077229806,-0.16258556326420398,-1.705747522803855,0.0676955384736549,0.4856211978989727,1.5869387322862027,1.5086994341143714,2.010997757125551,0.48308964148416295,0.2149267219577111,0.8621691734587693,1.5718830423107162,-0.06702987227689168,-0.5078445118276639,0.3535008930513664,83,4.88,1.436,9.4,1.5,3.5,7.9,2.23
2021,BAL,AL,52,162,110,0.321,44,-0.06745507887166968,0.07930006577822409,-0.4360699848491605,-0.5351137056985463,-0.9445208270226894,0.08757066670137588,-1.4785968252721424,0.93404194248948,-0.35044564941351913,-1.2018212762242404,-1.1945841644763566,-0.7310584029513831,1.7692937328082612,0.239,0.304,0.402,0.705,92,0.0030550589145137527,-0.6791166894946006,0.9652349399721084,-1.4851240085347706,-1.2975179626469349,-1.6366593447534066,-0.41877335737907995,4.1,5.85,-0.852333907267217,-0.7463509564575258,-1.2803829276782253,-0.026692929365939096,0.694310336035225,2.1286854831829882,2.420649003365255,2.677279097566595,0.5781914303445395,-1.470601730162803,0.8454693472669972,1.1825671940773697,-0.06702987227689168,2.7336842276049773,0.3271043539752101,77,5.15,1.484,9.7,1.7,3.6,7.9,2.19
1994,TEX,AL,52,114,62,0.456,24,-2.198654645536129,-2.2901457210362697,-0.8416828282408818,-1.5541250099558381,-1.3598650591262862,-1.4131321150594713,-0.36568280551744964,-0.6649220964148125,-0.8051181780654375,-0.5101977467114368,-0.5351975499857927,-0.8925868863867915,-1.2625148959260457,0.28,0.353,0.436,0.79,104,-1.434056492256886,-1.1476527924995594,-0.567482578370625,-0.394476847526032,-1.0022448450197323,-0.21555692599425966,-1.7707280650666193,5.4,5.45,-0.20774175931815353,-0.16258556326420398,-1.2803829276782253,-2.4282142822511643,-1.1838919071910456,-0.09849560383713016,-0.2331242431548156,0.08903235200715358,-1.430833859330913,-0.602299194221932,-1.4549317106496118,-0.8196285968369839,-0.3915718127959836,-0.003606707915919658,-2.1028437154242874,89,5.04,1.535,10.3,1.4,3.5,6.0,1.73
1981,CLE,AL,52,103,51,0.505,21,-3.0484924892680314,-3.075014332395838,-2.4464988607907356,-2.629125946315179,-1.760105864607934,-2.472451725714187,-0.9221398153947961,-2.579174819046712,-2.4874065340775355,0.4037333458590539,-0.4252997809040321,-1.9771352751673907,-2.7323558195251367,0.263,0.327,0.351,0.678,97,-3.093773021741851,-1.335067233701543,-1.7830861274010688,-0.19250515104293225,-0.11642549213812498,-0.5566215064964549,-2.6646434728818775,4.2,3.88,1.4395492854405643,1.5887106163157614,-2.6628178618365217,-3.01608339738635,-2.2108621395983925,-2.291280071752691,-2.23029379981425,-2.217326134134923,-2.4175149187573184,-1.3173718708791198,-1.930876757115117,-2.0431926912846445,-0.8783847235746214,-1.4442861476637603,-2.970996556151205,95,3.35,1.397,9.6,0.6,3.0,5.5,1.83
2013,HOU,AL,51,162,111,0.315,41,-0.013147651897437584,0.1403087603586947,-0.8681358397664288,-0.4735251103862924,-0.5140731682971437,0.08757066670137588,-1.3858539902925848,-0.1244272100246291,-0.9506133872340514,0.18142578280136698,0.8934734480770957,-1.0195021233717554,2.1084877921003593,0.24,0.299,0.375,0.674,86,-0.41596607673455044,-0.44484863799212115,0.2781546731288141,-0.19250515104293225,-0.6085473548501291,-1.3524388610015772,-0.7068948524600309,3.8,4.79,-0.7807125574950988,-0.7463509564575258,-0.6423360349897809,0.21339585795759106,0.7602121691308835,1.1999767673599273,1.1074416236439828,0.9603233356608271,1.2082407815445333,-0.44906933493824897,0.21922586507554284,0.5151685971059186,-0.22930084253643762,0.7887669839453927,0.5001483323633458,85,4.67,1.49,9.6,1.2,3.9,6.8,1.76
2004,ARI,NL,51,162,111,0.315,52,0.12482256798304395,0.28376163680466615,-0.8240474872238504,0.05277743137296819,-0.09117722288257242,0.7275762648052666,0.6544883792576855,-0.4171952734859784,-0.8051181780654375,-1.2265221165639835,-0.7000442036084337,-0.846435891119532,-0.03974125008292746,0.253,0.31,0.393,0.703,77,0.0030550589145137527,0.8201988401212679,-0.62033490658934,0.21143824192326724,-0.7069717273925299,-0.15871282924389377,0.03926594249320114,3.8,4.98,-0.5658485081787443,-0.45446825986086486,-0.5359948862083734,0.18805667196038478,0.4856211978989727,1.6385336609430394,1.36278750303423,1.1140805680702988,1.8264024091369802,1.9515317938394527,0.5072978668836119,1.5718830423107162,0.09524109798265426,1.509106703819313,0.5705391032330958,92,4.78,1.496,9.3,1.2,4.2,7.2,1.73
1994,FLA,NL,51,115,64,0.443,42,-2.410013280246654,-2.3841320883629407,-2.1202450519756555,-1.951651397880386,-1.5108993253457759,-1.8103769690549896,-0.6439113104561228,-1.3405407044025417,-1.9963602031334635,-0.9301120324870676,-1.0297375108537157,-1.9079087822665013,-1.1955136002634092,0.266,0.33,0.396,0.725,87,-2.039672977374674,-1.8036033367065019,-0.35607326549576523,-0.35408250822941206,-1.3959423351893356,-0.8976860869986503,-1.8224421795683283,4.1,4.51,-0.5658485081787443,-0.16258556326420398,-0.8550183325525957,-2.483960491445018,-1.771516585627335,-1.138993331750004,-1.2545077607158048,-0.8591372478512558,-1.026651256674313,0.4703098207638496,-1.5968802332796748,-0.4303127486036374,0.906595949280384,0.5006310959958246,-2.2802871169917824,97,4.77,1.475,9.5,1.1,3.8,5.8,1.52
1994,OAK,AL,51,114,63,0.447,32,-2.396803365577246,-2.4517363174926516,-1.4060137407858853,-2.142016147027353,-1.8129678577847552,-1.854515286165603,-1.664082495231258,-0.9126489193436466,-1.414379366459008,-0.28789018365374985,-0.3154020118222714,-1.1233418627230893,-1.4467684589982965,0.26,0.33,0.399,0.73,95,-2.0429465799969324,-1.8973105573074938,-1.518824486307494,-1.0811806155685713,0.6709694882010816,-1.1250624740001138,-2.1770532504371913,4.8,4.82,-0.0644990597739172,-0.16258556326420398,-1.5994063740224476,-2.5542767325872657,-2.2657803338447744,-1.0272043196601912,-0.9900423856330487,-0.6541276046386267,-0.0518579208554545,-0.5512225744607043,-1.2503588398004033,-0.708395497341742,0.744324979020838,-0.5798784838150559,-2.355077311040892,92,4.96,1.484,8.8,1.1,4.6,6.6,1.44
